,tweet_id,favorite_count,retweet_count
1747,678643457146150913,2154,457
1748,678446151570427904,4200,1691
1749,678424312106393600,5685,2733
1750,678410210315247616,4446,1960
1751,678399652199309312,81641,33845
1752,678396796259975168,1669,451
1753,678389028614488064,1962,452
1754,678380236862578688,2560,970
1755,678341075375947776,1809,579
1756,678334497360859136,1366,286
1757,678278586130948096,12029,6514
1758,678255464182861824,1661,399
1759,678023323247357953,2022,416
1760,678021115718029313,14431,6827
1761,677961670166224897,3582,1807
1762,677918531514703872,1412,440
1763,677895101218201600,5060,2259
1764,677716515794329600,3196,1036
1765,677700003327029250,3558,1543
1766,677698403548192770,1283,340
1767,677687604918272002,2594,902
1768,677673981332312066,3503,1610
1769,677662372920729601,2041,1047
1770,677644091929329666,1969,852
1771,677573743309385728,2240,776
1772,677565715327688705,1350,487
1773,677557565589463040,2549,1245
1774,677547928504967168,7253,3891
1775,677530072887205888,1121,242
1776,677335745548390400,3192,1918
1777,677334615166730240,1420,314
1778,677331501395156992,1137,253
1779,677328882937298944,3799,1597
1780,677314812125323265,1716,574
1781,677301033169788928,1303,437
1782,677269281705472000,2085,753
1783,677228873407442944,3708,1746
1784,677187300187611136,2857,985
1785,676975532580409345,2898,1144
1786,676957860086095872,2310,862
1787,676949632774234114,1359,423
1788,676948236477857792,2277,931
1789,676946864479084545,1778,404
1790,676942428000112642,2164,812
1791,676936541936185344,13270,5242
1792,676916996760600576,3099,1920
1793,676897532954456065,2357,772
1794,676864501615042560,2203,759
1795,676821958043033607,24100,16664
1796,676819651066732545,1881,706
1797,676811746707918848,1477,452
1798,676776431406465024,5208,2141
1799,676617503762681856,3022,1048
1800,676613908052996102,1140,207
1801,676606785097199616,1965,467
1802,676603393314578432,1225,417
1803,676593408224403456,4772,2298
1804,676590572941893632,958,135
1805,676588346097852417,2441,854
1806,676582956622721024,1258,300
1807,676575501977128964,2701,1193
1808,676533798876651520,1958,595
1809,676496375194980353,1584,569
1810,676470639084101634,12119,4965
1811,676440007570247681,1796,712
1812,676430933382295552,1460,366
1813,676263575653122048,2169,582
1814,676237365392908289,1276,314
1815,676219687039057920,78064,33014
1816,676215927814406144,1813,625
1817,676191832485810177,2372,1091
1818,676146341966438401,1995,712
1819,676121918416756736,2232,1236
1820,676101918813499392,2927,1230
1821,676098748976615425,3134,1530
1822,676089483918516224,1372,456
1823,675898130735476737,1705,608
1824,675891555769696257,2223,929
1825,675888385639251968,2469,1019
1826,675878199931371520,4349,1484
1827,675870721063669760,1711,605
1828,675853064436391936,2799,1380
1829,675849018447167488,979,162
1830,675845657354215424,2378,945
1831,675822767435051008,1585,566
1832,675820929667219457,1093,244
1833,675798442703122432,10650,3593
1834,675781562965868544,1689,504
1835,675740360753160193,1211,367
1836,675710890956750848,1967,880
1837,675707330206547968,2065,738
1838,675706639471788032,670,103
1839,675534494439489536,1882,443
1840,675531475945709568,1225,410
1841,675522403582218240,1079,303
1842,675517828909424640,1356,487
1843,675501075957489664,17770,6158
1844,675497103322386432,3256,1377
1845,675489971617296384,1349,630
1846,675483430902214656,1917,1026
1847,675432746517426176,1585,597
1848,675372240448454658,1763,536
1849,675362609739206656,1084,242
1850,675354435921575936,33983,18160
1851,675349384339542016,4059,2390
1852,675334060156301312,2881,1365
1853,675166823650848770,3739,1713
1854,675153376133427200,6514,2754
1855,675149409102012420,3878,1775
1856,675147105808306176,978,254
1857,675146535592706048,1240,330
1858,675145476954566656,2211,954
1859,675135153782571009,1344,522
1860,675113801096802304,2020,823
1861,675111688094527488,998,266
1862,675109292475830276,2898,1199
1863,675047298674663426,1096,345
1864,675015141583413248,2810,1264
1865,675006312288268288,1014,239
1866,675003128568291329,1603,501
1867,674999807681908736,2326,1163
1868,674805413498527744,891,372
1869,674800520222154752,3108,906
1870,674793399141146624,2587,1152
1871,674790488185167872,1143,268
1872,674788554665512960,837,219
1873,674781762103414784,2071,1272
1874,674774481756377088,1167,502
1875,674767892831932416,1890,839
1876,674764817387900928,811,251
1877,674754018082705410,1404,471
1878,674752233200820224,1509,487
1879,674743008475090944,1451,582
1880,674742531037511680,505,54
1881,674739953134403584,1149,418
1882,674737130913071104,665,96
1883,674690135443775488,1186,492
1884,674670581682434048,1672,688
1885,674664755118911488,954,267
1886,674646392044941312,1486,526
1887,674644256330530816,1063,284
1888,674638615994089473,1742,611
1889,674632714662858753,1551,605
1890,674606911342424069,963,103
1891,674468880899788800,6423,2169
1892,674447403907457024,1094,375
1893,674436901579923456,1152,414
1894,674422304705744896,1481,559
1895,674416750885273600,705,147
1896,674410619106390016,1234,486
1897,674394782723014656,1547,603
1898,674372068062928900,873,325
1899,674330906434379776,580,76
1900,674318007229923329,1457,542
1901,674307341513269249,11683,7283
1902,674291837063053312,15220,6191
1903,674271431610523648,1614,765
1904,674269164442398721,927,238
1905,674265582246694913,1690,892
1906,674262580978937856,1342,479
1907,674255168825880576,1514,587
1908,674082852460433408,778,179
1909,674075285688614912,1009,301
1910,674063288070742018,6561,2334
1911,674053186244734976,3423,1365
1912,674051556661161984,1488,504
1913,674045139690631169,1463,670
1914,674042553264685056,741,135
1915,674038233588723717,1132,428
1916,674036086168010753,869,226
1917,674024893172875264,1838,1289
1918,674019345211760640,1170,313
1919,674014384960745472,1610,679
1920,674008982932058114,1234,369
1921,673956914389192708,2005,1010
1922,673919437611909120,1200,384
1923,673906403526995968,3285,1695
1924,673887867907739649,959,263
1925,673716320723169284,3155,795
1926,673715861853720576,3639,2185
1927,673711475735838725,1068,310
1928,673709992831262724,874,284
1929,673708611235921920,1105,300
1930,673707060090052608,1126,407
1931,673705679337693185,1290,415
1932,673700254269775872,1477,596
1933,673697980713705472,3911,2052
1934,673689733134946305,1785,680
1935,673688752737402881,1300,519
1936,673686845050527744,1487,456
1937,673680198160809984,1408,486
1938,673662677122719744,1283,378
1939,673656262056419329,737,253
1940,673636718965334016,1148,381
1941,673612854080196609,1632,754
1942,673583129559498752,1224,385
1943,673580926094458881,852,276
1944,673576835670777856,1423,586
1945,673363615379013632,1050,323
1946,673359818736984064,1489,700
1947,673355879178194945,1532,609
1948,673352124999274496,1695,562
1949,673350198937153538,760,222
1950,673345638550134785,2597,1337
1951,673343217010679808,1000,280
1952,673342308415348736,1302,613
1953,673320132811366400,13836,8301
1954,673317986296586240,888,272
1955,673295268553605120,7713,3299
1956,673270968295534593,1093,385
1957,673240798075449344,1453,762
1958,673213039743795200,2313,882
1959,673148804208660480,1740,655
1960,672997845381865473,2015,751
1961,672995267319328768,977,309
1962,672988786805112832,1002,303
1963,672984142909456390,1280,564
1964,672980819271634944,1857,1039
1965,672975131468300288,1721,952
1966,672970152493887488,974,370
1967,672968025906282496,1347,568
1968,672964561327235073,1457,666
1969,672902681409806336,1401,526
1970,672898206762672129,916,438
1971,672884426393653248,1589,858
1972,672877615439593473,1054,381
1973,672834301050937345,1344,591
1974,672828477930868736,1279,510
1975,672640509974827008,995,334
1976,672622327801233409,1325,515
1977,672614745925664768,1253,607
1978,672609152938721280,1142,404
1979,672604026190569472,1141,419
1980,672594978741354496,1358,627
1981,672591762242805761,971,345
1982,672591271085670400,746,194
1983,672538107540070400,1054,383
1984,672523490734551040,660,178
1985,672488522314567680,1145,455
1986,672482722825261057,1163,631
1987,672481316919734272,731,128
1988,672475084225949696,1469,727
1989,672466075045466113,1385,559
1990,672272411274932228,6614,3521
1991,672267570918129665,1534,636
1992,672264251789176834,1172,353
1993,672256522047614977,2885,1613
1994,672254177670729728,1469,767
1995,672248013293752320,1769,631
1996,672245253877968896,701,162
1997,672239279297454080,915,330
1998,672231046314901505,1882,1050
1999,672222792075620352,803,220
2000,672205392827572224,2317,1200
2001,672169685991993344,1044,383
2002,672160042234327040,890,372
2003,672139350159835138,1788,744
2004,672125275208069120,2464,1188
2005,672095186491711488,1019,379
2006,672082170312290304,964,378
2007,672068090318987265,1327,533
2008,671896809300709376,8667,4313
2009,671891728106971137,1360,589
2010,671882082306625538,3554,1429
2011,671879137494245376,1454,713
2012,671874878652489728,1281,579
2013,671866342182637568,1152,520
2014,671855973984772097,930,469
2015,671789708968640512,7236,3623
2016,671768281401958400,1227,544
2017,671763349865160704,1722,957
2018,671744970634719232,1379,798
2019,671743150407421952,756,238
